language_slug,glottocode,family_top,probe,layer,is_headline_layer,loss,spearman_hm,spearman_content,uuas,root_acc,n_dev_sent,n_test_sent,mean_content_len_test,median_content_len_test,mean_arc_length_test,mean_orig_len_test,mean_content_ratio_test,mean_num_arcs_test,fragmentation_ratio_content_mean,fragmentation_ratio_overall_mean,mean_tree_height_test,height_residual,height_normalized_log,height_normalized_linear,n_train_sent,n_train_tokens_content,n_test_tokens_content,n_deprel_types,n_upos_types,log_n_train_sent,log_n_test_sent,log_n_train_tokens_content,log_n_test_tokens_content,ud_release,conllu_checksum_train,conllu_checksum_test,pretrain_exposure_log2mb,size_mb,chosen_date,exposure_source,complexity_pc1,complexity_pc1_adequate_only,feats_coverage_train,feats_coverage_band,new_complex_pc1,new_overall_marking_rate
UD_Hebrew-HTB,hebr1245,Afro-Asiatic,depth,L7,True,0.6305,0.5976,0.8335,0.0,0.7271,484,491,22.19348268839104,20.0,2.287915179830889,25.014256619144604,0.8822960327216257,21.19348268839104,1.8075241814907903,1.7102142560090032,6.012219959266803,0.2576546156182644,1.3255483092966311,0.2709002477746168,5168,121145,10897,27,14,8.550241045462437,6.19644412779452,11.704743454241529,9.296242800976886,UD_2.x,25b97ba18a4406fb,13d9949cdcb62180,9.106729294624504,551.3135671615601,20181001,wikidump_2018,-0.3691762277971785,-0.9461876300001544,0.6621569193941145,Adequate,0.716409821210367,0.6621569193941145
UD_Hebrew-HTB,hebr1245,Afro-Asiatic,dist,L7,True,0.7701,0.719,0.8104,0.7785,0.0,483,490,22.19348268839104,20.0,2.287915179830889,25.014256619144604,0.8822960327216257,21.19348268839104,1.8075241814907903,1.7102142560090032,6.012219959266803,0.2576546156182644,1.3255483092966311,0.2709002477746168,5168,121145,10897,27,14,8.550241045462437,6.19644412779452,11.704743454241529,9.296242800976886,UD_2.x,25b97ba18a4406fb,13d9949cdcb62180,9.106729294624504,551.3135671615601,20181001,wikidump_2018,-0.3691762277971785,-0.9461876300001544,0.6621569193941145,Adequate,0.716409821210367,0.6621569193941145
UD_Hindi-HDTB,hind1269,Indo-European,depth,L7,True,0.4377,0.7238,0.8572,0.0,0.9175,1659,1684,19.602137767220903,18.0,2.989894100507226,21.03919239904988,0.9250548253762162,18.602137767220903,1.876546407708363,1.809877260165938,5.1668646080760094,-0.2400068184117394,1.183778587025514,0.2635867918812481,13306,262389,33010,24,15,9.495970340301833,7.428927194802272,12.477583414441666,10.40456582484724,UD_2.x,63bb3c09aea82b66,b7197a90b90eacf2,7.043281838495576,131.89827060699463,20181001,wikidump_2018,0.7115170197003124,0.5040365628023272,0.9142303983779808,Adequate,-1.498792005969181,0.9141944265457776
UD_Hindi-HDTB,hind1269,Indo-European,dist,L7,True,0.6144,0.7789,0.7853,0.813,0.0,1659,1684,19.602137767220903,18.0,2.989894100507226,21.03919239904988,0.9250548253762162,18.602137767220903,1.876546407708363,1.809877260165938,5.1668646080760094,-0.2400068184117394,1.183778587025514,0.2635867918812481,13306,262389,33010,24,15,9.495970340301833,7.428927194802272,12.477583414441666,10.40456582484724,UD_2.x,63bb3c09aea82b66,b7197a90b90eacf2,7.043281838495576,131.89827060699463,20181001,wikidump_2018,0.7115170197003124,0.5040365628023272,0.9142303983779808,Adequate,-1.498792005969181,0.9141944265457776
UD_Hungarian-Szeged,hung1274,Uralic,depth,L7,True,0.7111,0.5822,0.7621,0.0,0.6013,441,449,19.975501113585747,19.0,2.673969593996052,23.26948775055679,0.849778175249153,18.975501113585747,2.2543302132581204,2.070755657612347,5.489977728285078,0.0330102442014021,1.250384002134553,0.2748355446538075,910,17282,8969,32,15,6.813444599510896,6.1070228877422545,9.757420776401345,9.101529466118004,UD_2.x,cf1d4b4798a97f42,d4c74d25c550061b,9.620767338837323,787.2987289428711,20181001,wikidump_2018,1.5893219812274642,1.1219682276020195,0.8488022219650504,Adequate,-0.4556907132381478,0.8488022219650504
UD_Hungarian-Szeged,hung1274,Uralic,dist,L7,True,0.8524,0.6448,0.7415,0.6745,0.0,441,446,19.975501113585747,19.0,2.673969593996052,23.26948775055679,0.849778175249153,18.975501113585747,2.2543302132581204,2.070755657612347,5.489977728285078,0.0330102442014021,1.250384002134553,0.2748355446538075,910,17282,8969,32,15,6.813444599510896,6.1070228877422545,9.757420776401345,9.101529466118004,UD_2.x,cf1d4b4798a97f42,d4c74d25c550061b,9.620767338837323,787.2987289428711,20181001,wikidump_2018,1.5893219812274642,1.1219682276020195,0.8488022219650504,Adequate,-0.4556907132381478,0.8488022219650504
UD_Indonesian-GSD,indo1316,Austronesian,depth,L7,True,0.582,0.6447,0.8475,0.0,0.763,559,557,18.197486535008977,16.0,2.0413664608143813,21.10592459605027,0.8624406317617951,17.197486535008977,1.4870772580422786,1.4176732732722133,5.6014362657091565,0.3830340334157336,1.3140134272403756,0.3078137332280978,4482,83613,10136,33,15,8.407824654360873,6.322565239927284,11.333954289375894,9.223848722000977,UD_2.x,6198d1d2525c594b,c5fd930b259ac3e2,8.973377638478446,502.63859367370605,20181001,wikidump_2018,-1.5951920478728456,-2.575285689658998,0.46289452597084185,Adequate,-0.0497166344675803,0.4622256283753846
UD_Indonesian-GSD,indo1316,Austronesian,dist,L7,True,0.7228,0.7184,0.7922,0.7685,0.0,558,557,18.197486535008977,16.0,2.0413664608143813,21.10592459605027,0.8624406317617951,17.197486535008977,1.4870772580422786,1.4176732732722133,5.6014362657091565,0.3830340334157336,1.3140134272403756,0.3078137332280978,4482,83613,10136,33,15,8.407824654360873,6.322565239927284,11.333954289375894,9.223848722000977,UD_2.x,6198d1d2525c594b,c5fd930b259ac3e2,8.973377638478446,502.63859367370605,20181001,wikidump_2018,-1.5951920478728456,-2.575285689658998,0.46289452597084185,Adequate,-0.0497166344675803,0.4622256283753846
UD_Japanese-GSD,nucl1643,Japonic,depth,L7,True,0.5168,0.7534,0.8451,0.0,0.8379,507,543,21.497237569060772,19.0,2.469187648455896,24.0036832412523,0.8794603335040114,20.497237569060772,1.571161509759769,1.496418287742478,5.279926335174954,-0.3812202625296015,1.17549137190192,0.2456095262571747,7050,150404,11673,22,14,8.860782895806315,6.297109319933935,11.921080285888896,9.365033761652665,UD_2.x,33c7f6e927ca4939,70f64e7f743dd2a2,11.415563781707217,2731.662971496582,20181001,wikidump_2018,-2.6585931846181827,,0.0062165899843089276,Absent,,
UD_Japanese-GSD,nucl1643,Japonic,dist,L7,True,0.6936,0.7418,0.7754,0.7579,0.0,506,542,21.497237569060772,19.0,2.469187648455896,24.0036832412523,0.8794603335040114,20.497237569060772,1.571161509759769,1.496418287742478,5.279926335174954,-0.3812202625296015,1.17549137190192,0.2456095262571747,7050,150404,11673,22,14,8.860782895806315,6.297109319933935,11.921080285888896,9.365033761652665,UD_2.x,33c7f6e927ca4939,70f64e7f743dd2a2,11.415563781707217,2731.662971496582,20181001,wikidump_2018,-2.6585931846181827,,0.0062165899843089276,Absent,,
