language_slug,probe,layer,is_headline_layer,loss,spearman_hm,spearman_content,uuas,root_acc,n_dev_sent,n_test_sent
UD_Spanish-AnCora,dist,L7,true,0.7334,0.7739,0.8455,0.7888,0.0000,1651,1713
UD_Spanish-AnCora,dist,L8,false,0.7425,0.7707,0.8424,0.7703,0.0000,1651,1713
UD_Spanish-AnCora,dist,L9,false,0.7667,0.7656,0.8318,0.7626,0.0000,1651,1713
UD_Turkish-IMST,depth,L10,false,0.5422,0.5591,0.7187,0.0000,0.7255,1090,1100
UD_Turkish-IMST,depth,L5,false,0.5517,0.4629,0.6839,0.0000,0.7236,1090,1100
UD_Turkish-IMST,depth,L6,false,0.5310,0.5197,0.7225,0.0000,0.7345,1090,1100
UD_Turkish-IMST,depth,L7,true,0.5206,0.5714,0.7498,0.0000,0.7445,1090,1100
UD_Turkish-IMST,depth,L8,false,0.5172,0.5629,0.7497,0.0000,0.7464,1090,1100
UD_Turkish-IMST,depth,L9,false,0.5319,0.5419,0.7321,0.0000,0.7445,1090,1100
UD_Turkish-IMST,dist,L10,false,0.5799,0.6120,0.6627,0.6961,0.0000,1046,1061
UD_Turkish-IMST,dist,L5,false,0.6032,0.5543,0.6399,0.6687,0.0000,1046,1061
UD_Turkish-IMST,dist,L6,false,0.5688,0.5896,0.6693,0.7018,0.0000,1046,1061
UD_Turkish-IMST,dist,L7,true,0.5596,0.6280,0.6860,0.7054,0.0000,1046,1061
UD_Turkish-IMST,dist,L8,false,0.5562,0.6232,0.6848,0.7062,0.0000,1046,1061
UD_Turkish-IMST,dist,L9,false,0.5671,0.6236,0.6736,0.7030,0.0000,1046,1061
UD_Urdu-UDTB,depth,L10,false,0.6352,0.7090,0.8035,0.0000,0.7701,552,535
UD_Urdu-UDTB,depth,L5,false,0.6538,0.6527,0.7676,0.0000,0.8150,552,535
UD_Urdu-UDTB,depth,L6,false,0.6170,0.6896,0.8062,0.0000,0.8393,552,535
UD_Urdu-UDTB,depth,L7,true,0.5987,0.7668,0.8203,0.0000,0.8542,552,535
UD_Urdu-UDTB,depth,L8,false,0.6106,0.7147,0.8173,0.0000,0.8262,552,535
UD_Urdu-UDTB,depth,L9,false,0.6142,0.7353,0.8164,0.0000,0.8000,552,535
UD_Urdu-UDTB,dist,L10,false,0.8425,0.7301,0.7465,0.6528,0.0000,552,535
UD_Urdu-UDTB,dist,L5,false,0.8618,0.7047,0.7279,0.6499,0.0000,552,535
UD_Urdu-UDTB,dist,L6,false,0.8162,0.7373,0.7580,0.7062,0.0000,552,535
UD_Urdu-UDTB,dist,L7,true,0.7930,0.7651,0.7761,0.7190,0.0000,552,535
UD_Urdu-UDTB,dist,L8,false,0.7983,0.7588,0.7731,0.7036,0.0000,552,535
UD_Urdu-UDTB,dist,L9,false,0.8152,0.7446,0.7642,0.6838,0.0000,552,535
UD_Vietnamese-VTB,depth,L10,false,0.6849,0.4589,0.6301,0.0000,0.4562,1123,800
UD_Vietnamese-VTB,depth,L5,false,0.7051,0.4076,0.5844,0.0000,0.4738,1123,800
UD_Vietnamese-VTB,depth,L6,false,0.6799,0.4392,0.6094,0.0000,0.4713,1123,800
UD_Vietnamese-VTB,depth,L7,true,0.6554,0.4661,0.6164,0.0000,0.4825,1123,800
UD_Vietnamese-VTB,depth,L8,false,0.6725,0.4745,0.6179,0.0000,0.4825,1123,800
UD_Vietnamese-VTB,depth,L9,false,0.6723,0.4646,0.6193,0.0000,0.4562,1123,800
UD_Vietnamese-VTB,dist,L10,false,0.7641,0.5668,0.6463,0.6508,0.0000,1123,799
UD_Vietnamese-VTB,dist,L5,false,0.7786,0.5129,0.6288,0.6348,0.0000,1123,799
UD_Vietnamese-VTB,dist,L6,false,0.7375,0.5404,0.6654,0.6698,0.0000,1123,799
UD_Vietnamese-VTB,dist,L7,true,0.7369,0.5661,0.6705,0.6723,0.0000,1123,799
UD_Vietnamese-VTB,dist,L8,false,0.7363,0.5759,0.6685,0.6689,0.0000,1123,799
